Model,Accuracy,Precision,Recall,F1-Score
Logistic_Regression,0.9746829810901001,0.9723054805078708,0.9746829810901001,0.9706971821466333
Decision_Tree,0.9963070077864293,0.9966487311999361,0.9963070077864293,0.9964653630609587
Random_Forest,0.996662958843159,0.9966190789188565,0.996662958843159,0.9966400617926507
