timestamp,dpid,in_port,eth_src,dst_port,pkt_rate,byte_rate,inference_time_ms,mitigation_latency_ms,cpu_percent,predicted_label,action_taken,scenario
1787352026.402241,2,2,00:00:00:00:00:04,0,72586.0,3919644.0,4.429,0.0,98.4,Normal,ALLOW,ddos
1787352026.4082286,2,3,00:00:00:00:00:01,0,74433.0,4019382.0,4.448,0.0,98.4,Normal,ALLOW,ddos
1787352026.416297,2,1,00:00:00:00:00:03,0,77057.0,4161078.0,4.423,0.0,99.7,Normal,ALLOW,ddos
1787352026.422131,2,2,00:00:00:00:00:04,0,78866.0,4258764.0,4.335,0.0,99.7,Normal,ALLOW,ddos
1787352026.42859,2,3,00:00:00:00:00:01,0,77582.0,4189428.0,4.5,0.0,99.7,Normal,ALLOW,ddos
1787352026.436109,2,1,00:00:00:00:00:03,0,75940.0,4100760.0,4.441,0.0,98.6,Normal,ALLOW,ddos
1787352026.4426863,2,2,00:00:00:00:00:04,0,79628.0,4299912.0,5.028,0.0,98.6,Normal,ALLOW,ddos
1787352026.4489782,2,3,00:00:00:00:00:01,0,76387.0,4124898.0,4.421,0.0,98.6,Normal,ALLOW,ddos
1787352026.4584005,2,1,00:00:00:00:00:03,0,76728.0,4143312.0,5.201,0.0,93.1,Normal,ALLOW,ddos
1787352026.4646955,2,2,00:00:00:00:00:04,0,79416.0,4288464.0,4.315,0.0,93.1,Normal,ALLOW,ddos
1787352026.4705472,2,3,00:00:00:00:00:01,0,77192.0,4168368.0,4.373,0.0,93.1,Normal,ALLOW,ddos
1787352026.478625,2,1,00:00:00:00:00:03,0,75632.0,4084128.0,4.788,0.0,97.7,Normal,ALLOW,ddos
1787352026.484792,2,2,00:00:00:00:00:04,0,78182.0,4221828.0,4.494,0.0,97.7,Normal,ALLOW,ddos
1787352026.4916658,2,3,00:00:00:00:00:01,0,76127.0,4110858.0,5.275,0.0,97.7,Normal,ALLOW,ddos
1787352026.5008478,2,1,00:00:00:00:00:03,0,75275.0,4064850.0,4.518,0.0,94.2,Normal,ALLOW,ddos
1787352026.5068803,2,2,00:00:00:00:00:04,0,78519.0,4240026.0,4.402,0.0,94.2,Normal,ALLOW,ddos
1787352026.5133598,2,3,00:00:00:00:00:01,0,75887.0,4097898.0,4.582,0.0,94.2,Normal,ALLOW,ddos
1787352026.520633,2,1,00:00:00:00:00:03,0,73041.0,3944214.0,4.283,0.0,92.7,Normal,ALLOW,ddos
1787352026.5267673,2,2,00:00:00:00:00:04,0,78295.0,4227930.0,4.54,0.0,92.7,Normal,ALLOW,ddos
1787352026.5328016,2,3,00:00:00:00:00:01,0,73718.0,3980772.0,4.333,0.0,92.7,Normal,ALLOW,ddos
1787352026.5402613,2,1,00:00:00:00:00:03,0,75966.0,4102164.0,4.459,0.0,102.9,Normal,ALLOW,ddos
1787352026.5464976,2,2,00:00:00:00:00:04,0,76592.0,4135968.0,4.46,0.0,102.9,Normal,ALLOW,ddos
1787352026.5523088,2,3,00:00:00:00:00:01,0,76643.0,4138722.0,4.33,0.0,102.9,Normal,ALLOW,ddos
1787352026.5597382,2,1,00:00:00:00:00:03,0,72133.0,3895182.0,4.505,0.0,102.6,Normal,ALLOW,ddos
1787352026.5658565,2,2,00:00:00:00:00:04,0,75236.0,4062744.0,4.341,0.0,102.6,Normal,ALLOW,ddos
1787352026.5716424,2,3,00:00:00:00:00:01,0,72698.0,3925692.0,4.313,0.0,102.6,Normal,ALLOW,ddos
1787352026.5793567,2,1,00:00:00:00:00:03,0,72663.0,3923802.0,4.45,0.0,103.0,Normal,ALLOW,ddos
1787352026.5849686,2,2,00:00:00:00:00:04,0,76809.0,4147686.0,4.186,0.0,103.0,Normal,ALLOW,ddos
1787352026.5907497,2,3,00:00:00:00:00:01,0,73232.0,3954528.0,4.3,0.0,103.0,Normal,ALLOW,ddos
1787352026.599618,2,1,00:00:00:00:00:03,0,77773.0,4199742.0,4.384,0.0,98.7,Normal,ALLOW,ddos
